video,frame,ground_truth,predicted_emotion,confidence,modality,channel,emotion_code,intensity_code,statement_code,repetition_code,actor,prob_angry,prob_disgust,prob_fearful,prob_happy,prob_sad,prob_surprised,prob_neutral
01-01-01-01-01-01-21.mp4,0,neutral,neutral,90.4744873046875,audio-video,speech,1,1,1,1,21,0.3661516,1.5656435e-05,0.0039998074,0.000114719034,9.155233,2.0569615e-07,90.47449
01-01-01-01-01-01-21.mp4,1,neutral,neutral,90.4744873046875,audio-video,speech,1,1,1,1,21,0.3661516,1.5656435e-05,0.0039998074,0.000114719034,9.155233,2.0569615e-07,90.47449
01-01-01-01-01-01-21.mp4,2,neutral,neutral,90.4744873046875,audio-video,speech,1,1,1,1,21,0.3661516,1.5656435e-05,0.0039998074,0.000114719034,9.155233,2.0569615e-07,90.47449
01-01-01-01-01-01-21.mp4,3,neutral,neutral,90.4744873046875,audio-video,speech,1,1,1,1,21,0.3661516,1.5656435e-05,0.0039998074,0.000114719034,9.155233,2.0569615e-07,90.47449
01-01-01-01-01-01-21.mp4,4,neutral,neutral,90.4744873046875,audio-video,speech,1,1,1,1,21,0.3661516,1.5656435e-05,0.0039998074,0.000114719034,9.155233,2.0569615e-07,90.47449
01-01-01-01-01-01-21.mp4,5,neutral,neutral,91.9452896118164,audio-video,speech,1,1,1,1,21,0.14034402,1.7107282e-05,0.0012181391,3.302595e-05,7.913105,1.5885225e-07,91.94529
01-01-01-01-01-01-21.mp4,6,neutral,neutral,91.9452896118164,audio-video,speech,1,1,1,1,21,0.14034402,1.7107282e-05,0.0012181391,3.302595e-05,7.913105,1.5885225e-07,91.94529
01-01-01-01-01-01-21.mp4,7,neutral,neutral,91.9452896118164,audio-video,speech,1,1,1,1,21,0.14034402,1.7107282e-05,0.0012181391,3.302595e-05,7.913105,1.5885225e-07,91.94529
01-01-01-01-01-01-21.mp4,8,neutral,neutral,91.9452896118164,audio-video,speech,1,1,1,1,21,0.14034402,1.7107282e-05,0.0012181391,3.302595e-05,7.913105,1.5885225e-07,91.94529
01-01-01-01-01-01-21.mp4,9,neutral,neutral,91.9452896118164,audio-video,speech,1,1,1,1,21,0.14034402,1.7107282e-05,0.0012181391,3.302595e-05,7.913105,1.5885225e-07,91.94529
01-01-01-01-01-01-21.mp4,10,neutral,neutral,74.69804382324219,audio-video,speech,1,1,1,1,21,0.5606757,0.00022272806,0.0039366814,1.339454e-06,24.737127,2.1776824e-08,74.698044
